LAT_LONG,DAU_CODE
33.066111_-115.709167,353
33.178056_-115.614444,353
33.281944_-115.578611,353
33.386678_-117.593914,120
33.409639_-117.591006,114
33.440559_-116.0607,348
33.454897_-116.078977,348
33.455241_-116.061172,348
33.459421_-116.087272,348
33.462382_-116.061245,348
33.463593_-116.074278,348
33.470187_-116.094818,348
33.48065_-116.112692,348
33.481054_-116.095336,348
33.498767_-116.095372,348
33.498956_-116.130198,348
33.507275_-115.890147,349
33.509206_-117.660446,114
33.510767_-115.920793,349
33.510786_-116.149466,348
33.511111_-117.661111,114
33.51122_-115.925506,349
33.512678_-115.930857,349
33.515167_-115.93451,349
33.516797_-116.082468,348
33.51823_-116.078914,348
33.519944_-116.074636,348
33.521118_-115.939335,349
33.523699_-116.008858,348
33.524985_-115.97331,348
33.52516_-116.131143,348
33.525217_-116.095513,348
33.525371_-115.991129,348
33.525378_-116.026382,348
33.525475_-115.956632,348
33.525969_-116.078921,348
33.526966_-116.030798,348
33.52908_-116.035213,348
33.531303_-117.645881,114
33.532247_-116.030868,348
33.532695_-116.043672,348
33.539965_-115.991758,348
33.539988_-116.078863,348
33.540052_-116.061755,348
33.540228_-116.008863,348
33.540282_-116.112702,348
33.540407_-115.974133,348
33.542636_-116.148191,348
33.545719_-117.659839,114
33.551208_-117.801428,114
33.554755_-116.092281,348
33.554938_-116.026518,348
33.555035_-116.130245,348
33.564205_-117.545294,114
33.564936_-117.587779,114
33.568954_-116.181827,348
33.569114_-116.061466,348
33.569223_-116.079206,348
33.569232_-116.044161,348
33.569668_-116.026249,348
33.575518_-117.672496,114
33.580572_-116.077744,348
33.583798_-116.026346,348
33.583874_-116.129596,348
33.583961_-116.04366,348
33.598087_-116.224755,348
33.613073_-116.164041,348
33.613189_-116.078175,348
33.626389_-117.841667,96
33.62715_-116.196887,348
33.628239_-117.8839,96
33.634805_-116.136049,348
33.643114_-117.566156,114
33.64637_-117.86201,96
33.653493_-117.828902,96
33.653744_-116.313906,348
33.655_-117.856111,96
33.656714_-116.218393,348
33.660497_-117.944019,96
33.663889_-117.67,96
33.676111_-116.178889,348
33.676322_-117.77922,96
33.6775_-116.300833,348
33.681454_-117.991867,96
33.682448_-117.342211,98
33.692977_-117.352374,98
33.694405_-117.35108,98
33.6975_-117.350556,98
33.698333_-117.349722,98
33.702489_-116.371969,348
33.70633_-118.001806,96
33.712031_-116.194712,348
33.712039_-117.73075,96
33.730556_-116.288889,348
33.733537_-116.351461,348
33.735_-116.406944,348
33.735278_-116.24,348
33.736389_-118.021667,96
33.746389_-118.118333,89
