FIPS,INCID_2004_2017,INCID_2004_2010,CASES_2004_2017,CASES_YEAR_2004_2017,CASES_2004_2010,CASES_YEAR_2004_2010,POP2010,TAR,PIPQNX,ERY,CX_OTHER,APPLIED_WATER_ACRE,PRECIP_AF_ACRE,MEAN_TEMPC,DEV_TOTAL_PERCENT_DAU,OPENWATER_PERCENT_DAU,AG_2010,OVERLAP,LAT,LONG,WETLAND_COVER
6001,0.529706258,0.264853129,8,0.571428571,4,0.571428571,1510271,2.737300968,5.150222683,23.97463835,29.1257164,0.043274865,1.598564232,17.35146801,27.61176487,2.900126889,1.571134955,100,37.64275382,-121.8775366,0.815183442
6003,0,0,0,0,0,0,1175,0.535873987,0.373620672,0.004354625,1.314219645,0.001657232,0.748724647,3.276446999,0.627931218,0.340068435,0.004829172,99.99840398,38.59448271,-119.8169696,0.004868742
6005,13.12646032,7.875876191,5,0.357142857,3,0.428571429,38091,3.514890705,1.760355916,0.019967135,6.127820667,0.01902859,3.314865321,16.88055168,3.416365795,1.23286569,0.641383202,100,38.4421067,-120.6446715,0.027064368
6007,102.2727273,39.54545455,225,16.07142857,87,12.42857143,220000,0.007700374,0.000394346,8.18E-07,0.000402188,0.000155231,0.001446465,0.004354812,0.000810471,0.000409045,0.004614993,100,39.66214977,-121.5929039,8.13251E-05
6009,6.582122954,6.582122954,3,0.214285714,3,0.428571429,45578,3.111230934,1.398970116,0.015667747,4.843551893,0.018668849,2.63540317,14.06060292,2.922545243,1.108876721,0.702624314,100,38.20165543,-120.5447212,0.024319692
6011,93.37504085,42.01876838,20,1.428571429,9,1.285714286,21419,97.05786312,3.46555868,0.517886196,4.028695975,1.301268202,1.243935113,15.71169503,2.631872863,0.879122543,42.67539919,100,39.17913684,-122.2328096,1.064486651
6013,5.719596768,3.336431448,60,4.285714286,35,5,1049025,42.61904365,9.790235715,17.17457528,26.96614248,0.392744037,1.430869502,18.02004803,31.32533046,4.035576411,14.04262462,100,37.91322503,-121.9118696,1.884886934
6015,0,0,0,0,0,0,28610,0,0,0,0,0,0,0,0,0,0,82.41925182,41.74004868,-123.890022,0
6017,4.418473638,2.761546024,8,0.571428571,5,0.714285714,181058,1.104771441,0.855586019,0.008299358,2.437853695,0.007896146,4.132582746,14.17251359,2.895099737,3.430547504,0.06620141,99.99950101,38.7752063,-120.5175223,0.031335585
6019,27.40609383,14.72405825,255,18.21428571,137,19.57142857,930450,15.2285413,27.39886411,2.692704664,30.43822219,0.78969055,1.104245083,11.761628,4.369012383,0.483887793,27.56358132,100,36.7542967,-119.641139,0.696146153
