,LAT_LONG_YEAR,TAR_COUNT,LAT,LONG,YEAR,LAT_LONG,DAU_CODE,DAU_YEAR,DAU_NAME,APPLIED_WATER_ACRE,PRECIP_AF_ACRE,MEAN_TEMPC,RICE_PERCENT_DAU,DEV_HIGH_PERCENT_DAU,DEV_LOW_PERCENT_DAU,DEV_MED_PERCENT_DAU,DEV_OPEN_PERCENT_DAU,DEV_TOTAL_PERCENT_DAU,OPENWATER_PERCENT_DAU,WETLAND_PERCENT_DAU,DAU_CENTER_LAT,DAU_CENTER_LONG,AG2010,AG_TOTAL_PERCENT_DAU2015,SD,CV,PIP_QNX_COUNT,ERY_COUNT,THR_COUNT,STG_COUNT,PIP_QNX_SD,ERY_SD,THR_SD,STG_SD,PIP_QNX_CV,ERY_CV,THR_CV,STG_CV,CX_OTHER_COUNT,CX_OTHER_SD,CX_OTHER_CV
1,33.066111_-115.709167_2006,227.125,33.066111,-115.709167,2006,33.066111_-115.709167,353,353_2006,Imperial,1.775196163,0.03780177,27.64175587,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,365.9979736,161.1438519,0,1.9375,0,0,0,4.073798391,0,0,,210.2605621,,,1.9375,4.073798391,210.2605621
2,33.066111_-115.709167_2007,194.6470588,33.066111,-115.709167,2007,33.066111_-115.709167,353,353_2007,Imperial,1.747322519,0.069233221,27.46269022,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,215.9241595,110.9311185,0.588235294,7.176470588,0,0,1.970368732,12.83177352,0,0,334.9626845,178.8034016,,,7.764705882,13.06009864,168.1982401
3,33.178056_-115.614444_2006,215.3125,33.178056,-115.614444,2006,33.178056_-115.614444,353,353_2006,Imperial,1.775196163,0.03780177,27.64175587,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,514.0010011,238.7232516,0,1011.4375,0,0,0,3226.673601,0,0,,319.0185851,,,1011.4375,3226.673601,319.0185851
4,33.178056_-115.614444_2007,228.7058824,33.178056,-115.614444,2007,33.178056_-115.614444,353,353_2007,Imperial,1.747322519,0.069233221,27.46269022,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,291.7592682,127.5696389,0,771.7058824,0,0,0,848.0446454,0,0,,109.8922096,,,771.7058824,848.0446454,109.8922096
5,33.178056_-115.614444_2008,355.3125,33.178056,-115.614444,2008,33.178056_-115.614444,353,353_2008,Imperial,1.680213416,0.212912469,27.44604515,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,352.8220928,99.29909384,1.375,941.0625,0,0,4.978286184,1462.69557,0,0,362.057177,155.4302259,,,942.4375,1461.805138,155.1089742
6,33.178056_-115.614444_2009,233.8666667,33.178056,-115.614444,2009,33.178056_-115.614444,353,353_2009,Imperial,1.525062755,0.140957028,27.49494147,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,210.1390243,89.85420079,0,678.0666667,0,0,0,701.4202395,0,0,,103.4441411,,,678.0666667,701.4202395,103.4441411
7,33.281944_-115.578611_2006,260.25,33.281944,-115.578611,2006,33.281944_-115.578611,353,353_2006,Imperial,1.775196163,0.03780177,27.64175587,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,306.45141,117.7527032,0,378.5625,0,0,0,1067.772383,0,0,,282.0597347,,,378.5625,1067.772383,282.0597347
8,33.281944_-115.578611_2007,556.9411765,33.281944,-115.578611,2007,33.281944_-115.578611,353,353_2007,Imperial,1.747322519,0.069233221,27.46269022,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,551.1227711,98.95529265,0,120.3529412,0,0,0,142.3613102,0,0,,118.2865236,,,120.3529412,142.3613102,118.2865236
9,33.281944_-115.578611_2008,341.6470588,33.281944,-115.578611,2008,33.281944_-115.578611,353,353_2008,Imperial,1.680213416,0.212912469,27.44604515,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,257.4006947,75.34111244,0.058823529,309.5294118,0,0,0.242535625,752.4380471,0,0,412.3105626,243.0909692,,,309.5882353,752.4147841,243.0372664
10,33.281944_-115.578611_2009,225.6666667,33.281944,-115.578611,2009,33.281944_-115.578611,353,353_2009,Imperial,1.525062755,0.140957028,27.49494147,0,0.103110421,2.358850686,0.680671516,0.530970068,3.67360269,0.444985072,0.457229965,32.99075646,-115.4848395,30.04492079,34.43737405,158.8519826,70.39231134,16.06666667,113.2666667,0,0,61.40086861,215.9637756,0,0,382.1630827,190.6684305,,,129.3333333,215.6874944,166.7686812
